,id,fixations,fixmap,aim_nss,aim_auc,aim_ig,aim_cc,aim_kl,aim_sauc,aim_sim,rare_nss,rare_auc,rare_ig,rare_cc,rare_kl,rare_sauc,rare_sim,qss_nss,qss_auc,qss_ig,qss_cc,qss_kl,qss_sauc,qss_sim,lds_nss,lds_auc,lds_ig,lds_cc,lds_kl,lds_sauc,lds_sim,imsig_nss,imsig_auc,imsig_ig,imsig_cc,imsig_kl,imsig_sauc,imsig_sim,gbvs_nss,gbvs_auc,gbvs_ig,gbvs_cc,gbvs_kl,gbvs_sauc,gbvs_sim,gauss_nss,gauss_auc,gauss_ig,gauss_cc,gauss_kl,gauss_sauc,gauss_sim,fes_nss,fes_auc,fes_ig,fes_cc,fes_kl,fes_sauc,fes_sim,dva_nss,dva_auc,dva_ig,dva_cc,dva_kl,dva_sauc,dva_sim,cvs_nss,cvs_auc,cvs_ig,cvs_cc,cvs_kl,cvs_sauc,cvs_sim,cas_nss,cas_auc,cas_ig,cas_cc,cas_kl,cas_sauc,cas_sim,dgi_nss,dgi_auc,dgi_ig,dgi_cc,dgi_kl,dgi_sauc,dgi_sim,dgiie_nss,dgiie_auc,dgiie_ig,dgiie_cc,dgiie_kl,dgiie_sauc,dgiie_sim,dgii_nss,dgii_auc,dgii_ig,dgii_cc,dgii_kl,dgii_sauc,dgii_sim,icf_nss,icf_auc,icf_ig,icf_cc,icf_kl,icf_sauc,icf_sim,DoB,Gender
0,2.02107E+14,"[[288.8, 199.7], [1292.7, 915.9], [354.9, 946.8], [248.0, 442.1], [790.7, 469.7], [1504.6, 517.5], [920.4, 138.0], [1445.0, 223.3], [1148.7, 43.2]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",-0.173250218,0.411120037,-2.305416111,-0.003295512,5.0561495,0.422561695,0.000404773,-0.068369113,0.534745791,-2.370929934,-0.001242144,5.2784243,0.473929748,0.000409106,0.265845494,0.619416732,-2.088615633,0.005430171,5.142882,0.561867301,0.000496484,0.034677576,0.459066517,-2.874030647,0.000726432,5.713632,0.422175469,0.000450329,0.192551419,0.566723518,-2.148196966,0.004010368,5.0952086,0.509269423,0.000470787,0.021620322,0.528533519,-2.38133452,0.000443773,5.2863026,0.424228564,0.000437058,0.002619966,0.660138181,-3.82805867,4.23E-06,6.752183,0.436099931,0.000430317,0.049463283,0.341908541,-3.104079356,0.001030666,5.816897,0.423405293,0.000460108,-0.054975853,0.519949736,-2.373076548,-0.001233988,5.468137,0.485099809,0.000403194,-0.032496094,0.34002772,-3.53622119,-0.000657799,6.399931,0.351384315,0.000397902,-0.010764537,0.511410626,-2.260875917,-0.000151326,5.15684,0.450288653,0.000428232,-0.070008392,0.439026709,-2.251288735,-0.001457557,5.0121975,0.396338984,0.000418213,-0.070008392,0.439026709,-2.251288735,-0.001457557,5.0121975,0.396338984,0.000418213,-0.070008392,0.439026709,-2.251288735,-0.001457557,5.0121975,0.396338984,0.000418213,0.11430088,0.507493877,-2.188486315,0.002919218,4.9832788,0.448936862,0.000436319,1974,MALE
1,2.02107E+14,"[[891.4, 672.8], [1223.4, 744.5], [956.8, 167.1], [1725.9, 233.8], [1537.4, 565.3], [903.5, 352.3], [257.3, 526.6], [282.9, 1004.2], [408.0, 447.2], [948.4, 162.2]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.22467117,0.538412446,-2.087862732,0.00492243,5.1593847,0.560382364,0.000517727,0.653525165,0.666647541,-1.880576279,0.013930062,5.379068,0.609915843,0.000725868,0.130714582,0.554148252,-2.15910125,0.002809813,5.2473297,0.502643615,0.000514088,0.336710232,0.562396962,-2.283954002,0.007330039,5.8152146,0.541136114,0.000693177,0.31664896,0.624198257,-2.01210437,0.006908694,5.198853,0.570362239,0.00055178,0.470891677,0.646396296,-1.998716881,0.010345684,5.3882766,0.57708562,0.00064921,0.070961447,0.303731538,-3.143106796,0.00153698,6.855123,0.553969996,0.000566617,0.412777664,0.484084826,-2.451170494,0.009019427,5.917819,0.511663008,0.00075481,0.210372538,0.570619406,-2.095302917,0.004616904,5.57051,0.554098061,0.000583928,0.392331161,0.461694624,-2.707261803,0.008585937,6.497952,0.598408342,0.00092066,0.51207862,0.644688107,-1.93737426,0.011140341,5.259053,0.58981888,0.00062168,-0.005878165,0.477097563,-2.172693588,-0.000254306,5.167955,0.423362605,0.00047569,-0.005878165,0.477097563,-2.172693588,-0.000254306,5.167955,0.423362605,0.00047569,-0.005878165,0.477097563,-2.172693588,-0.000254306,5.167955,0.423362605,0.00047569,0.42079934,0.630458959,-2.100955345,0.00911237,5.0830708,0.568971826,0.000498381,1999,FEMALE
2,2.02107E+14,"[[848.5, 851.7], [1400.1, 871.9], [1472.3, 295.0], [319.8, 475.9], [649.3, 321.3], [850.2, 802.2], [1409.2, 875.0], [1786.7, 836.8], [1765.9, 679.4]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.686180496,0.686619219,-2.062538383,0.014210001,5.05444,0.714629833,0.000539233,0.563947043,0.671699433,-2.040720222,0.011478353,5.275692,0.615217303,0.000623952,0.399106082,0.572740829,-2.229953578,0.008316364,5.1424336,0.526730902,0.000531776,0.146271971,0.57605458,-2.452638862,0.003002092,5.712827,0.558025369,0.000513743,0.265811148,0.599792638,-2.210012248,0.005515108,5.095014,0.554732284,0.000486058,0.292490786,0.604644008,-2.18054795,0.006039729,5.285186,0.516587389,0.00052498,-0.312802258,0.457577434,-4.075178171,-0.006476331,6.756699,0.46197707,7.53E-05,0.124922592,0.350089164,-2.576647889,0.002628467,5.816305,0.558574216,0.000506652,0.601499377,0.615483892,-2.043944489,0.012461857,5.46434,0.608590479,0.000701663,-0.200191063,0.424039613,-3.434880387,-0.004121976,6.402088,0.475200228,0.000228414,0.428948745,0.625827926,-2.118000902,0.008767496,5.1554523,0.576279628,0.000537457,0.310497623,0.595996668,-2.198152778,0.006332252,5.063204,0.554610318,0.000481666,0.310497623,0.595996668,-2.198152778,0.006332252,5.063204,0.554610318,0.000481666,0.310497623,0.595996668,-2.198152778,0.006332252,5.063204,0.554610318,0.000481666,0.25246853,0.566422314,-2.277651069,0.005538243,4.9791203,0.504004553,0.00044191,1978,MALE
3,2.02107E+14,"[[908.6, 304.9], [238.5, 226.8], [1354.1, 827.7], [1402.8, 272.3], [911.2, 181.2], [285.0, 1061.2], [1423.0, 292.6], [901.4, 164.3], [100.0, 192.9]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.343401772,0.564721221,-2.492344815,0.006796336,5.0551643,0.584227751,0.000482289,0.124838601,0.608372719,-2.529963029,0.002413489,5.27764,0.540472415,0.000470849,0.469243234,0.681522366,-2.343746039,0.009732028,5.142213,0.634874172,0.000549086,-0.156973668,0.569886079,-3.212336287,-0.003233226,5.7150364,0.452057161,0.000339988,-0.053867669,0.512905289,-2.649901561,-0.001102956,5.0958686,0.458490873,0.000418892,0.197219105,0.559141557,-2.674668695,0.004029459,5.2855864,0.479845103,0.000493395,-0.304916703,0.241814247,-4.429585416,-0.006337545,6.7566023,0.381133878,8.29E-05,-0.421047706,0.27241783,-3.903908265,-0.008741685,5.8205194,0.380330935,0.000175445,0.20154598,0.572827557,-2.587253212,0.004169103,5.4666386,0.56038338,0.000520941,-0.29956586,0.446550263,-4.007713171,-0.006180051,6.403369,0.467648494,0.000127721,-0.13327172,0.488154849,-2.804373912,-0.002766743,5.1572485,0.428649835,0.000396203,0.306222275,0.607256124,-2.453990578,0.006449601,5.063194,0.577336667,0.000482622,0.306222275,0.607256124,-2.453990578,0.006449601,5.063194,0.577336667,0.000482622,0.306222275,0.607256124,-2.453990578,0.006449601,5.063194,0.577336667,0.000482622,0.19474763,0.559169717,-2.561761497,0.003958545,4.9791627,0.492651543,0.000438538,1994,MALE
4,2.02107E+14,"[[921.4, 688.4], [117.9, 985.6], [211.4, 463.1], [975.5, 93.8], [1795.1, 260.8], [1679.8, 715.8], [1369.0, 886.1], [1292.1, 762.2], [946.1, 432.1], [314.2, 463.8], [114.6, 174.6], [1075.1, 34.8]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",-0.083829681,0.428130856,-2.281806372,-0.002085103,5.3402,0.434062081,0.000554956,0.105078721,0.564802611,-2.294461789,0.002795379,5.5615997,0.505518966,0.000627961,0.001662223,0.51588724,-2.300617121,3.30E-05,5.427857,0.457487194,0.000573914,0.011024416,0.425365774,-2.958934845,0.000245585,5.9979267,0.391305342,0.000581349,-0.028337763,0.50688656,-2.279922865,-0.000618767,5.3799567,0.438277534,0.000566197,-0.046097294,0.492265571,-2.528424483,-0.001101825,5.5707808,0.398638553,0.000553459,0.132074503,0.529894672,-3.555502635,0.003184175,7.033757,0.460543969,0.000774837,0.185401009,0.559582907,-2.870767178,0.004453111,6.099509,0.473136968,0.000723221,-0.020497112,0.498232543,-2.469420812,-0.000488978,5.7520857,0.480668374,0.000561144,0.244666424,0.454884865,-3.284751,0.005824584,6.6794705,0.409165752,0.000902483,0.10353904,0.50877932,-2.280447862,0.002328092,5.4405346,0.449193499,0.000606367,-0.063595369,0.463441053,-2.258640987,-0.00142093,5.3481655,0.414212099,0.000560084,-0.063595369,0.463441053,-2.258640987,-0.00142093,5.3481655,0.414212099,0.000560084,-0.063595369,0.463441053,-2.258640987,-0.00142093,5.3481655,0.414212099,0.000560084,0.011351098,0.486064207,-2.204089226,0.000273672,5.2633944,0.421690145,0.000574122,1975,MALE
6,2.02107E+14,"[[940.0, 302.1], [791.4, 1068.1], [1376.1, 924.5], [1248.5, 410.1], [1201.5, 946.2], [1730.4, 192.3], [918.8, 286.1], [475.2, 164.0], [134.8, 248.0]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",-0.374446426,0.344550531,-2.447329754,-0.008809572,5.0566893,0.361863235,0.000362419,-0.659701814,0.296068143,-3.166119173,-0.013728337,5.2811084,0.241360735,0.000198218,-0.360713061,0.424294318,-2.608234745,-0.007442582,5.144885,0.376346709,0.00033908,-0.154547703,0.421490145,-3.056695006,-0.003204762,5.715026,0.39378786,0.000340781,-0.340246608,0.406289153,-2.499553384,-0.007070284,5.0966406,0.323078018,0.00035833,-0.196944121,0.452187851,-2.709957886,-0.004075029,5.2872066,0.344117169,0.00036606,-0.173490776,0.573366469,-3.648964903,-0.003579989,6.7546806,0.483676871,0.000233984,-0.332272048,0.399129019,-3.320995882,-0.006873243,5.819827,0.388858397,0.000229871,-0.57077782,0.286506457,-3.334655465,-0.011842516,5.471078,0.252124243,0.000172006,-0.268511236,0.440492035,-3.7069767,-0.005514413,6.4029546,0.398971419,0.000160288,-0.352034547,0.408579255,-2.65389773,-0.007132648,5.1579294,0.349849575,0.000342735,-0.309427907,0.368666438,-2.448412492,-0.006419349,5.064527,0.32059804,0.000377797,-0.309427907,0.368666438,-2.448412492,-0.006419349,5.064527,0.32059804,0.000377797,-0.309427907,0.368666438,-2.448412492,-0.006419349,5.064527,0.32059804,0.000377797,-0.018318389,0.467995437,-2.265198729,0.000105408,4.9792676,0.392375086,0.000430311,1992,FEMALE
7,2.02107E+14,"[[881.1, 652.4], [1114.6, 506.4], [1409.6, 888.9], [1665.3, 731.5], [1520.9, 237.2], [1310.6, 208.9], [322.1, 992.2], [1127.4, 832.1], [1648.8, 498.0], [192.6, 284.8], [218.6, 262.7], [737.2, 176.7], [393.5, 128.9], [989.3, 167.5]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.149302432,0.518726612,-2.288701273,0.004037096,5.491667,0.528768752,0.000707693,0.513135923,0.612418151,-2.22143331,0.013318256,5.710919,0.559497674,0.00094954,0.342328388,0.600094284,-2.237127929,0.008792241,5.5783505,0.546723904,0.000803094,0.052872314,0.4865012,-2.847230037,0.001400632,6.149599,0.465951858,0.000717696,0.261846877,0.573641491,-2.26177169,0.006806016,5.5309644,0.524279964,0.000755162,0.182674829,0.572655775,-2.335500797,0.00469485,5.7215543,0.477301239,0.000761011,0.158829067,0.583904731,-3.792290631,0.004110446,7.1849437,0.442880665,0.000949812,0.139982748,0.395073547,-2.972027858,0.003612981,6.2519407,0.484148764,0.000800269,0.280945595,0.555138788,-2.331352313,0.007312783,5.901598,0.541333438,0.000867761,0.213057253,0.37437999,-3.411649647,0.005483972,6.8315988,0.45805891,0.001003622,0.275814766,0.555116133,-2.309460992,0.007162561,5.5917587,0.500849407,0.000778411,0.672986098,0.699284674,-2.106218009,0.017434473,5.4979386,0.665947938,0.000846124,0.672986098,0.699284674,-2.106218009,0.017434473,5.4979386,0.665947938,0.000846124,0.672986098,0.699284674,-2.106218009,0.017434473,5.4979386,0.665947938,0.000846124,0.2752343,0.559749711,-2.294532038,0.007061894,5.415362,0.491597407,0.000687825,1994,FEMALE
8,2.02107E+14,"[[862.1, 487.8], [389.5, 160.1], [1043.5, 19.2], [1638.7, 227.4], [223.3, 477.2], [360.6, 926.1], [894.3, 471.2], [1269.2, 511.9], [1689.7, 641.7], [1468.6, 285.6]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",-0.162072651,0.409375966,-2.699163005,-0.003553186,5.1602583,0.427762532,0.000449105,-0.231717453,0.47893564,-2.871821162,-0.005348847,5.383436,0.406266008,0.000382648,-0.292212442,0.43203078,-2.891373011,-0.006351273,5.2488313,0.381110501,0.000396012,0.068155894,0.481232972,-3.07543368,0.001531254,5.817381,0.465907428,0.000522851,-0.064967627,0.48566321,-2.679453227,-0.001412167,5.1999846,0.424304793,0.000462766,0.153132602,0.556103724,-2.617081591,0.003406625,5.3897386,0.467334431,0.000534291,0.716788451,0.590285517,-3.347392413,0.015655719,6.8447504,0.510931211,0.001381818,-0.028659297,0.442998888,-3.357671496,-0.000590916,5.9215746,0.470709843,0.000459729,-0.320875905,0.399987067,-3.221639582,-0.006982677,5.5738993,0.379308452,0.000317474,0.258175185,0.407202162,-3.370031688,0.005660571,6.499871,0.455241493,0.000769796,-0.167179958,0.466772702,-2.768622157,-0.003667655,5.2614837,0.405964142,0.000430528,-0.167486337,0.449267501,-2.704816577,-0.003659628,5.1683254,0.40536041,0.000446452,-0.167486337,0.449267501,-2.704816577,-0.003659628,5.1683254,0.40536041,0.000446452,-0.167486337,0.449267501,-2.704816577,-0.003659628,5.1683254,0.40536041,0.000446452,0.07103595,0.513610998,-2.559935138,0.001238039,5.083296,0.455040249,0.000480659,1998,MALE
9,2.02107E+14,"[[301.3, 236.7], [955.2, 126.7], [1752.7, 514.8], [1139.4, 411.6], [1653.0, 673.5], [190.6, 522.5]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.21796463,0.528648011,-2.303361656,0.003836625,4.6553164,0.540492743,0.000310787,0.467343186,0.675897039,-2.125221652,0.008160999,4.87652,0.627271618,0.000399275,-0.275379526,0.450483203,-2.581633967,-0.004642052,4.7441115,0.393965728,0.000240375,-0.063574011,0.513099796,-2.838395518,-0.001026226,5.31398,0.484342603,0.000263373,-0.121577418,0.484218645,-2.453223628,-0.002044715,4.6957355,0.417215514,0.000269779,0.297160966,0.609439762,-2.192694428,0.004981235,4.8853726,0.523005854,0.00035063,-0.055207442,0.631233246,-3.945215625,-0.000927538,6.352507,0.42143859,0.000245236,-0.192450386,0.261753702,-3.049154045,-0.003250672,5.418058,0.466444079,0.000209404,-0.219094661,0.463926435,-2.720734996,-0.003694166,5.068425,0.440221368,0.000220986,-0.200191063,0.163646567,-3.712720317,-0.003370384,6.0010295,0.331214172,0.000152075,0.495671407,0.635560421,-2.149229131,0.008387632,4.755546,0.587144774,0.0003706,-0.01870421,0.480981971,-2.381085795,-0.000246552,4.6636744,0.437172216,0.000285084,-0.01870421,0.480981971,-2.381085795,-0.000246552,4.6636744,0.437172216,0.000285084,-0.01870421,0.480981971,-2.381085795,-0.000246552,4.6636744,0.437172216,0.000285084,0.3461875,0.587830101,-2.310676656,0.005942075,4.578929,0.520444566,0.000297083,1976,FEMALE
10,2.02107E+14,"[[1419.4, 263.7], [297.4, 525.9], [314.5, 1058.1], [1265.0, 346.0], [715.6, 305.1], [1417.6, 236.2], [1023.7, 65.1], [1045.3, 559.4]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.125749702,0.492263556,-2.256158185,0.00238025,4.939294,0.52283434,0.000399536,0.020550346,0.573966644,-2.297348571,0.00067707,5.1617055,0.513332419,0.00039308,0.134922811,0.57343712,-2.241168332,0.002780933,5.027004,0.521130626,0.000414359,0.21935417,0.666073346,-2.405764174,0.004305906,5.596136,0.540328851,0.000495428,-0.034997738,0.50924881,-2.325072837,-0.000718957,4.9795003,0.43615075,0.000375419,0.712573513,0.684079755,-2.034175944,0.013921109,5.167455,0.632432309,0.000588519,0.375541032,0.41113253,-3.265368295,0.007342984,6.631044,0.517688895,0.000761533,-0.107558663,0.474573678,-3.031359029,-0.002073845,5.701689,0.461008965,0.000325342,0.019843015,0.514616877,-2.49833734,0.000381311,5.3513803,0.494614435,0.000390133,-0.001053288,0.404003385,-2.942936253,-6.55E-05,6.2832437,0.557571808,0.000379279,0.039550913,0.53316868,-2.326259923,0.000910075,5.040371,0.484346414,0.000392807,0.157653915,0.555248007,-2.211660933,0.00307741,4.947245,0.505877241,0.000405933,0.157653915,0.555248007,-2.211660933,0.00307741,4.947245,0.505877241,0.000405933,0.157653915,0.555248007,-2.211660933,0.00307741,4.947245,0.505877241,0.000405933,0.3942185,0.649549675,-2.215996337,0.007741842,4.8627563,0.594264544,0.000397883,1988,MALE
11,2.02107E+14,"[[919.7, 604.2], [953.3, 621.3], [1180.8, 856.6], [857.1, 246.5], [1197.6, 222.0], [1436.6, 255.7], [890.2, 49.7], [469.7, 182.3], [846.1, 56.5], [335.9, 950.8]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",-0.338678211,0.354111037,-2.821395535,-0.00748191,5.160664,0.364937797,0.000417297,0.276770122,0.623926535,-2.549800534,0.005399999,5.381002,0.553110135,0.000574008,0.51366343,0.677583543,-2.38519196,0.011253366,5.245944,0.620133553,0.000622916,0.133656952,0.501790831,-3.054748577,0.002959612,5.8168464,0.484650567,0.000564805,0.364600782,0.620577218,-2.496256108,0.007924531,5.1987143,0.570407977,0.000562647,0.174989047,0.565892882,-2.727665753,0.003858534,5.389644,0.477067325,0.000541775,0.591408117,0.500517989,-3.591875309,0.01294138,6.8467436,0.494575558,0.001225095,0.065220962,0.433122993,-3.488901944,0.001416827,5.920789,0.420042078,0.000521376,0.247609578,0.569516624,-2.64908318,0.005450302,5.570265,0.556915477,0.000603071,0.766849925,0.527198348,-3.166315121,0.016763878,6.4925857,0.53143981,0.001342407,0.354569384,0.571048146,-2.522435612,0.007781114,5.259604,0.524908525,0.000578317,0.502033235,0.580443745,-2.477014393,0.010953429,5.166729,0.542416758,0.000571919,0.502033235,0.580443745,-2.477014393,0.010953429,5.166729,0.542416758,0.000571919,0.502033235,0.580443745,-2.477014393,0.010953429,5.166729,0.542416758,0.000571919,0.2436099,0.571471959,-2.605725331,0.005347618,5.083179,0.510245152,0.000489908,1996,MALE
12,2.02107E+14,"[[816.2, 294.3], [175.8, 905.7], [1233.9, 846.3], [1716.0, 650.9], [1384.6, 262.6], [871.4, 293.4], [341.6, 235.6], [868.9, 402.4]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.349301043,0.56525134,-1.925514723,0.006944709,4.9388733,0.589999543,0.000432591,0.343295051,0.626854239,-1.947755123,0.00629654,5.160567,0.572619374,0.000482565,0.534704575,0.643055102,-1.819889094,0.010487958,5.025874,0.598392334,0.000503211,0.58506841,0.607672209,-1.900115992,0.01149077,5.593734,0.608454537,0.000684197,0.364600782,0.622358776,-1.881763006,0.007185458,4.978539,0.572424991,0.000451054,0.790332017,0.694336085,-1.645974184,0.01538282,5.1671786,0.626600805,0.000610172,0.017733947,0.321903093,-3.077181841,0.000357323,6.635635,0.510153677,0.000400753,0.084696122,0.323920908,-2.438885714,0.001676555,5.7003794,0.511137029,0.000428344,0.271193037,0.569164001,-2.001698042,0.005278984,5.350099,0.552597878,0.000490765,0.082794197,0.388575086,-2.624800945,0.001610858,6.28226,0.544456641,0.000456606,0.524384029,0.649628356,-1.79948547,0.010195157,5.039007,0.602908891,0.000500016,1.153275693,0.773661081,-1.63092425,0.022588834,4.9453382,0.753693286,0.000555779,1.153275693,0.773661081,-1.63092425,0.022588834,4.9453382,0.753693286,0.000555779,1.153275693,0.773661081,-1.63092425,0.022588834,4.9453382,0.753693286,0.000555779,0.5689563,0.663865829,-1.95567372,0.011158226,4.8626695,0.622232894,0.00040476,1997,FEMALE
13,2.02107E+14,"[[762.2, 537.8], [555.9, 78.8], [991.1, 61.6], [1532.3, 317.7], [1715.9, 547.8], [1305.0, 831.9], [165.2, 902.2], [766.2, 771.7], [318.2, 593.1], [1053.2, 352.4]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.184431929,0.510479857,-2.330437633,0.003948766,5.1594844,0.519337724,0.000509843,0.166114795,0.558117894,-2.457652255,0.003987147,5.3813195,0.499853641,0.000548856,0.189629789,0.514489569,-2.428532192,0.004077577,5.247121,0.470096963,0.000530428,0.334526863,0.532502382,-2.576696178,0.007353186,5.815205,0.512870472,0.000693857,0.176789478,0.519877539,-2.363013049,0.00390134,5.1992607,0.454692645,0.000519608,0.317896567,0.599085376,-2.30152814,0.006961003,5.388991,0.517544823,0.000593156,0.132468781,0.424322798,-3.484620258,0.002895455,6.8541245,0.484732894,0.000645054,0.420767473,0.523118695,-2.611341258,0.009214422,5.9177423,0.520417124,0.000760797,0.205407599,0.495575696,-2.606178638,0.004507247,5.5705404,0.475329308,0.000581409,0.191097198,0.522188193,-3.135735675,0.004150046,6.500862,0.485976948,0.000691896,0.208873341,0.587940457,-2.282142421,0.004554081,5.260135,0.529088913,0.00053666,-0.082834437,0.520058172,-2.490932247,-0.001847762,5.1681285,0.477982071,0.000462008,-0.082834437,0.520058172,-2.490932247,-0.001847762,5.1681285,0.477982071,0.000462008,-0.082834437,0.520058172,-2.490932247,-0.001847762,5.1681285,0.477982071,0.000462008,0.2285403,0.564827757,-2.320482417,0.004719754,5.083197,0.500493963,0.000488495,1995,FEMALE
14,2.02107E+14,"[[897.5, 647.6], [1346.2, 788.3], [1491.0, 600.1], [461.9, 160.2], [903.9, 125.4], [1416.4, 334.8], [1679.2, 695.9], [808.7, 756.8], [797.6, 772.3], [87.5, 939.7], [313.8, 498.9], [1092.7, 691.1], [1060.6, 449.2]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.46817017,0.592634089,-2.061609216,0.01143395,5.4176574,0.616355653,0.000726777,1.080743901,0.70383079,-1.756006335,0.026169662,5.6345716,0.659806074,0.001152399,0.649621601,0.64199515,-1.957314366,0.016209625,5.503869,0.599052886,0.000859427,0.799416424,0.649532598,-1.830191487,0.019879712,6.0685925,0.653015846,0.001286963,0.469879624,0.626423152,-2.034922327,0.011731064,5.4570813,0.581581243,0.000764311,0.79615178,0.714748529,-1.814317504,0.019849268,5.6447988,0.662001464,0.000996015,0.407614013,0.34916787,-2.746717547,0.01013252,7.1068697,0.617720735,0.001288237,0.724841174,0.529787522,-2.078871455,0.018064628,6.1724043,0.60820738,0.001253605,0.73474645,0.613244429,-1.910554247,0.018269407,5.824879,0.604773565,0.001099693,0.75868017,0.406759431,-2.20590997,0.018825785,6.74861,0.612197078,0.001728116,0.725624794,0.64034843,-1.943563703,0.018055664,5.5166106,0.600804976,0.000886962,0.216111084,0.580824197,-2.115129419,0.005386662,5.4263616,0.53606209,0.000673964,0.216111084,0.580824197,-2.115129419,0.005386662,5.4263616,0.53606209,0.000673964,0.216111084,0.580824197,-2.115129419,0.005386662,5.4263616,0.53606209,0.000673964,0.44111675,0.637210676,-2.1448553,0.010984627,5.342082,0.583586648,0.000649419,1995,MALE
